"route_id","service_id","trip_id","trip_headsign","block_id","direction_id","shape_id"
"01","13105100","698920","01 CAMPBELL CENTER","7001","0","25549"
"01","13105100","698921","01 EUGENE STATION","7001","1","25548"
"01","13105100","698944","01 CAMPBELL CENTER","7002","0","25549"
"01","13105100","698945","01 EUGENE STATION","7002","1","25548"
"01","13105100","698962","01 CAMPBELL CENTER","7004","0","25549"
"01","13105100","698963","01 EUGENE STATION","7004","1","25548"
"01","13105100","699079","01 CAMPBELL CENTER","7007","0","25549"
"01","13105100","699080","01 EUGENE STATION","7007","1","25548"
"01","13105100","699161","01 CAMPBELL CENTER","7010","0","25549"
"01","13105100","699162","01 EUGENE STATION","7010","1","25548"
"01","13105100","699176","01 CAMPBELL CENTER","7011","0","25549"
"01","13105100","699177","01 EUGENE STATION","7011","1","25548"
"01","13105100","699399","01 CAMPBELL CENTER","7019","0","25549"
"01","13105100","699400","01 EUGENE STATION","7019","1","25548"
"01","13105100","699503","01 CAMPBELL CENTER","7028","0","25549"
"01","13105100","699504","01 EUGENE STATION","7028","1","25548"
"01","13105100","699531","01 CAMPBELL CENTER","7030","0","25549"
"01","13105100","699532","01 EUGENE STATION","7030","1","25548"
"01","13105100","699584","01 CAMPBELL CENTER","7036","0","25549"
"01","13105100","699585","01 EUGENE STATION","7036","1","25548"
"01","13105200","699954","01 CAMPBELL CENTER","1001","0","25549"
"01","13105200","699955","01 EUGENE STATION","1001","1","25548"
"01","13105200","700090","01 CAMPBELL CENTER","1008","0","25549"
"01","13105200","700091","01 EUGENE STATION","1008","1","25548"
"01","13105200","700149","01 CAMPBELL CENTER","1011","0","25549"
"01","13105200","700150","01 EUGENE STATION","1011","1","25548"
"01","13105200","700193","01 CAMPBELL CENTER","1014","0","25549"
"01","13105200","700194","01 EUGENE STATION","1014","1","25548"
"01","13105200","700195","01 CAMPBELL CENTER","1014","0","25549"
"01","13105200","700196","01 EUGENE STATION","1014","1","25548"
"01","13105200","700251","01 CAMPBELL CENTER","1016","0","25549"
"01","13105200","700252","01 EUGENE STATION","1016","1","25548"
"01","13105200","700305","01 CAMPBELL CENTER","1018","0","25549"
"01","13105200","700306","01 EUGENE STATION","1018","1","25548"
"01","13105200","700381","01 CAMPBELL CENTER","1023","0","25549"
"01","13105200","700382","01 EUGENE STATION","1023","1","25548"
"01","13105200","700441","01 CAMPBELL CENTER","1034","0","25549"
"01","13105200","700442","01 EUGENE STATION","1034","1","25548"
"01","13105200","700497","01 CAMPBELL CENTER","1033","0","25549"
"01","13105200","700498","01 EUGENE STATION","1033","1","25548"
"01","13105300","701012","01 CAMPBELL CENTER","10","0","25549"
"01","13105300","701013","01 EUGENE STATION","10","1","25548"
"01","13105300","701133","01 CAMPBELL CENTER","17","0","25549"
"01","13105300","701134","01 EUGENE STATION","17","1","25548"
"01","13105300","701204","01 CAMPBELL CENTER","20","0","25549"
"01","13105300","701205","01 EUGENE STATION","20","1","25548"
"01","13105300","701475","01 CAMPBELL CENTER","33","0","25549"
"01","13105300","701476","01 EUGENE STATION","33","1","25548"
"01","13105300","701665","01 CAMPBELL CENTER","49","0","25549"
"01","13105300","701666","01 EUGENE STATION","49","1","25548"
"01","13105300","701721","01 CAMPBELL CENTER","51","0","25549"
"01","13105300","701722","01 EUGENE STATION","51","1","25548"
"01","13105300","701731","01 CAMPBELL CENTER","52","0","25549"
"01","13105300","701732","01 EUGENE STATION","52","1","25548"
"01","13105300","701795","01 CAMPBELL CENTER","57","0","25549"
"01","13105300","701796","01 EUGENE STATION","57","1","25548"
"01","13105300","701892","01 CAMPBELL CENTER","67","0","25549"
"01","13105300","701893","01 EUGENE STATION","67","1","25548"
"01","13105300","701900","01 CAMPBELL CENTER","66","0","25549"
"01","13105300","701901","01 EUGENE STATION","66","1","25548"
"01","13205100","702364","01 CAMPBELL CENTER","7001","0","25649"
"01","13205100","702365","01 EUGENE STATION","7001","1","25648"
"01","13205100","702388","01 CAMPBELL CENTER","7002","0","25649"
"01","13205100","702389","01 EUGENE STATION","7002","1","25648"
"01","13205100","702406","01 CAMPBELL CENTER","7004","0","25649"
"01","13205100","702407","01 EUGENE STATION","7004","1","25648"
"01","13205100","702523","01 CAMPBELL CENTER","7007","0","25649"
"01","13205100","702524","01 EUGENE STATION","7007","1","25648"
"01","13205100","702605","01 CAMPBELL CENTER","7010","0","25649"
"01","13205100","702606","01 EUGENE STATION","7010","1","25648"
"01","13205100","702620","01 CAMPBELL CENTER","7011","0","25649"
"01","13205100","702621","01 EUGENE STATION","7011","1","25648"
"01","13205100","702843","01 CAMPBELL CENTER","7019","0","25649"
"01","13205100","702844","01 EUGENE STATION","7019","1","25648"
"01","13205100","702947","01 CAMPBELL CENTER","7028","0","25649"
"01","13205100","702948","01 EUGENE STATION","7028","1","25648"
"01","13205100","702975","01 CAMPBELL CENTER","7030","0","25649"
"01","13205100","702976","01 EUGENE STATION","7030","1","25648"
"01","13205100","703028","01 CAMPBELL CENTER","7036","0","25649"
"01","13205100","703029","01 EUGENE STATION","7036","1","25648"
"01","13205200","703398","01 CAMPBELL CENTER","1001","0","25649"
"01","13205200","703399","01 EUGENE STATION","1001","1","25648"
"01","13205200","703534","01 CAMPBELL CENTER","1008","0","25649"
"01","13205200","703535","01 EUGENE STATION","1008","1","25648"
"01","13205200","703593","01 CAMPBELL CENTER","1011","0","25649"
"01","13205200","703594","01 EUGENE STATION","1011","1","25648"
"01","13205200","703637","01 CAMPBELL CENTER","1014","0","25649"
"01","13205200","703638","01 EUGENE STATION","1014","1","25648"
"01","13205200","703639","01 CAMPBELL CENTER","1014","0","25649"
"01","13205200","703640","01 EUGENE STATION","1014","1","25648"
"01","13205200","703695","01 CAMPBELL CENTER","1016","0","25649"
"01","13205200","703696","01 EUGENE STATION","1016","1","25648"
"01","13205200","703749","01 CAMPBELL CENTER","1018","0","25649"
"01","13205200","703750","01 EUGENE STATION","1018","1","25648"
"01","13205200","703825","01 CAMPBELL CENTER","1023","0","25649"
"01","13205200","703826","01 EUGENE STATION","1023","1","25648"
"01","13205200","703885","01 CAMPBELL CENTER","1034","0","25649"
"01","13205200","703886","01 EUGENE STATION","1034","1","25648"
"01","13205200","703941","01 CAMPBELL CENTER","1033","0","25649"
"01","13205200","703942","01 EUGENE STATION","1033","1","25648"
"01","13205300","704356","01 CAMPBELL CENTER","4","0","25649"
"01","13205300","704357","01 EUGENE STATION","4","1","25648"
"01","13205300","704438","01 CAMPBELL CENTER","9","0","25649"
"01","13205300","704439","01 EUGENE STATION","9","1","25648"
"01","13205300","704508","01 CAMPBELL CENTER","14","0","25649"
"01","13205300","704509","01 EUGENE STATION","14","1","25648"
"01","13205300","704676","01 CAMPBELL CENTER","21","0","25649"
"01","13205300","704677","01 EUGENE STATION","21","1","25648"
"01","13205300","704801","01 CAMPBELL CENTER","28","0","25649"
"01","13205300","704802","01 EUGENE STATION","28","1","25648"
"01","13205300","704823","01 CAMPBELL CENTER","27","0","25649"
"01","13205300","704824","01 EUGENE STATION","27","1","25648"
"01","13205300","705052","01 CAMPBELL CENTER","39","0","25649"
"01","13205300","705053","01 EUGENE STATION","39","1","25648"
"01","13205300","705221","01 CAMPBELL CENTER","53","0","25649"
"01","13205300","705222","01 EUGENE STATION","53","1","25648"
"01","13205300","705241","01 CAMPBELL CENTER","56","0","25649"
"01","13205300","705242","01 EUGENE STATION","56","1","25648"
"01","13205300","705296","01 CAMPBELL CENTER","59","0","25649"
"01","13205300","705297","01 EUGENE STATION","59","1","25648"
"103","13105100","699040","101 EmX GATEWAY <> to SPFLD STATION","7901","0","25560"
"103","13105100","699041","103 EmX WEST 11TH <> COMMERCE STATION","7901","1","25555"
"103","13105100","699042","101 EmX EUGENE STATION","7901","0","25558"
"103","13105100","699043","103 EmX WEST 11TH <> COMMERCE STATION","7901","1","25556"
"103","13105100","699044","101 EmX EUGENE STATION","7901","0","25557"
"103","13105100","699045","103 EmX WEST 11TH <> COMMERCE STATION","7901","1","25555"
"103","13105100","699046","101 EmX EUGENE STATION","7901","0","25558"
"103","13105100","699047","103 EmX WEST 11TH <> COMMERCE STATION","7901","1","25556"
"103","13105100","699048","101 EmX EUGENE STATION","7901","0","25557"
"103","13105100","699049","103 EmX WEST 11TH <> COMMERCE STATION","7901","1","25555"
"103","13105100","699050","101 EmX EUGENE STATION","7901","0","25558"
"103","13105100","699051","103 EmX WEST 11TH <> COMMERCE STATION","7901","1","25556"
"103","13105100","699052","101 EmX EUGENE STATION","7901","0","25557"
"103","13105100","699053","103 EmX WEST 11TH <> COMMERCE STATION","7901","1","25555"
"103","13105100","699054","103 EmX WEST 11TH <> COMMERCE STATION","7902","1","25551"
"103","13105100","699055","101 EmX EUGENE STATION","7902","0","25557"
"103","13105100","699056","103 EmX WEST 11TH <> COMMERCE STATION","7902","1","25555"
"103","13105100","699057","101 EmX EUGENE STATION","7902","0","25558"
"103","13105100","699058","103 EmX WEST 11TH <> COMMERCE STATION","7902","1","25556"
"103","13105100","699059","101 EmX EUGENE STATION","7902","0","25557"
"103","13105100","699060","103 EmX WEST 11TH <> COMMERCE STATION","7902","1","25555"
"103","13105100","699061","101 EmX EUGENE STATION","7902","0","25558"
"103","13105100","699062","103 EmX WEST 11TH <> COMMERCE STATION","7902","1","25556"
"103","13105100","699063","101 EmX EUGENE STATION","7902","0","25557"
"103","13105100","699064","103 EmX WEST 11TH <> COMMERCE STATION","7902","1","25555"
"103","13105100","699065","101 EmX EUGENE STATION","7902","0","25558"
"103","13105100","699066","103 EmX WEST 11TH <> COMMERCE STATION","7902","1","25556"
"103","13105100","699067","101 EmX EUGENE STATION","7902","0","25558"
"103","13105100","699068","103 EmX WEST 11TH <> COMMERCE STATION","7902","1","25556"
"103","13105100","699099","101 EmX EUGENE STATION","7903","0","25557"
"103","13105100","699100","103 EmX WEST 11TH <> COMMERCE STATION","7903","1","25555"
"103","13105100","699101","101 EmX EUGENE STATION","7903","0","25558"
"103","13105100","699102","103 EmX WEST 11TH <> COMMERCE STATION","7903","1","25556"
"103","13105100","699103","101 EmX EUGENE STATION","7903","0","25557"
"103","13105100","699104","103 EmX WEST 11TH <> COMMERCE STATION","7903","1","25555"
"103","13105100","699105","101 EmX EUGENE STATION","7903","0","25558"
"103","13105100","699106","103 EmX WEST 11TH <> COMMERCE STATION","7903","1","25556"
"103","13105100","699107","101 EmX EUGENE STATION","7903","0","25557"
"103","13105100","699108","103 EmX WEST 11TH <> COMMERCE STATION","7903","1","25555"
"103","13105100","699109","101 EmX EUGENE STATION","7903","0","25558"
"103","13105100","699110","103 EmX WEST 11TH <> COMMERCE STATION","7903","1","25556"
"103","13105100","699111","101 EmX EUGENE STATION","7903","0","25557"
"103","13105100","699112","101 EmX EUGENE STATION","7903","1","25554"
"103","13105100","699180","101 EmX GATEWAY/RIVERBEND","7904","0","25559"
"103","13105100","699181","103 EmX WEST 11TH <> COMMERCE STATION","7904","1","25556"
"103","13105100","699182","101 EmX EUGENE STATION","7904","0","25557"
"103","13105100","699183","103 EmX WEST 11TH <> COMMERCE STATION","7904","1","25555"
"103","13105100","699184","101 EmX EUGENE STATION","7904","0","25558"
"103","13105100","699185","103 EmX WEST 11TH <> COMMERCE STATION","7904","1","25556"
"103","13105100","699186","101 EmX EUGENE STATION","7904","0","25557"
"103","13105100","699187","103 EmX WEST 11TH <> COMMERCE STATION","7904","1","25555"
"103","13105100","699188","101 EmX EUGENE STATION","7904","0","25558"
"103","13105100","699189","103 EmX WEST 11TH <> COMMERCE STATION","7904","1","25556"
"103","13105100","699190","101 EmX EUGENE STATION","7904","0","25557"
"103","13105100","699191","103 EmX WEST 11TH <> COMMERCE STATION","7904","1","25555"
"103","13105100","699192","101 EmX EUGENE STATION","7904","0","25558"
"103","13105100","699193","103 EmX WEST 11TH <> COMMERCE STATION","7904","1","25556"
"103","13105100","699194","101 EmX EUGENE STATION","7904","0","25557"
"103","13105100","699195","101 EmX EUGENE STATION","7904","1","25554"
"103","13105100","699249","101 EmX EUGENE STATION","7905","0","25558"
"103","13105100","699250","103 EmX WEST 11TH <> COMMERCE STATION","7905","1","25556"
"103","13105100","699251","101 EmX EUGENE STATION","7905","0","25557"
"103","13105100","699252","103 EmX WEST 11TH <> COMMERCE STATION","7905","1","25555"
"103","13105100","699253","101 EmX EUGENE STATION","7905","0","25558"
"103","13105100","699254","103 EmX WEST 11TH <> COMMERCE STATION","7905","1","25556"
"103","13105100","699255","101 EmX EUGENE STATION","7905","0","25557"
"103","13105100","699256","103 EmX WEST 11TH <> COMMERCE STATION","7905","1","25555"
"103","13105100","699257","101 EmX EUGENE STATION","7905","0","25558"
