"service_id","date","exception_type"
"13105200","20230108","1"
"13105300","20230109","1"
"13105304","20230109","1"
"13105300","20230110","1"
"13105304","20230110","1"
"13105300","20230111","1"
"13105304","20230111","1"
"13105300","20230112","1"
"13105304","20230112","1"
"13105300","20230113","1"
"13105304","20230113","1"
"13105100","20230114","1"
"13105200","20230115","1"
"13105300","20230116","1"
"13105312","20230116","1"
"13105300","20230117","1"
"13105304","20230117","1"
"13105300","20230118","1"
"13105304","20230118","1"
"13105300","20230119","1"
"13105304","20230119","1"
"13105300","20230120","1"
"13105304","20230120","1"
"13105100","20230121","1"
"13105200","20230122","1"
"13105300","20230123","1"
"13105304","20230123","1"
"13105300","20230124","1"
"13105304","20230124","1"
"13105300","20230125","1"
"13105304","20230125","1"
"13105300","20230126","1"
"13105304","20230126","1"
"13105300","20230127","1"
"13105304","20230127","1"
"13105100","20230128","1"
"13105200","20230129","1"
"13105300","20230130","1"
"13105304","20230130","1"
"13105300","20230131","1"
"13105304","20230131","1"
"13105300","20230201","1"
"13105304","20230201","1"
"13105300","20230202","1"
"13105304","20230202","1"
"13105300","20230203","1"
"13105304","20230203","1"
"13105100","20230204","1"
"13205200","20230205","1"
"13205300","20230206","1"
"13205304","20230206","1"
"13205300","20230207","1"
"13205304","20230207","1"
"13205300","20230208","1"
"13205304","20230208","1"
"13205300","20230209","1"
"13205304","20230209","1"
"13205300","20230210","1"
"13205304","20230210","1"
"13205100","20230211","1"
"13205200","20230212","1"
"13205300","20230213","1"
"13205304","20230213","1"
"13205300","20230214","1"
"13205304","20230214","1"
"13205300","20230215","1"
"13205304","20230215","1"
"13205300","20230216","1"
"13205304","20230216","1"
"13205300","20230217","1"
"13205304","20230217","1"
"13205100","20230218","1"
"13205200","20230219","1"
"13205300","20230220","1"
"13205304","20230220","1"
"13205300","20230221","1"
"13205304","20230221","1"
"13205300","20230222","1"
"13205304","20230222","1"
"13205300","20230223","1"
"13205304","20230223","1"
"13205300","20230224","1"
"13205304","20230224","1"
"13205100","20230225","1"
"13205200","20230226","1"
"13205300","20230227","1"
"13205304","20230227","1"
"13205300","20230228","1"
"13205304","20230228","1"
"13205300","20230301","1"
"13205304","20230301","1"
"13205300","20230302","1"
"13205304","20230302","1"
"13205300","20230303","1"
"13205304","20230303","1"
"13205100","20230304","1"
"13205200","20230305","1"
"13205300","20230306","1"
"13205304","20230306","1"
"13205300","20230307","1"
"13205304","20230307","1"
"13205300","20230308","1"
"13205304","20230308","1"
"13205300","20230309","1"
"13205304","20230309","1"
"13205300","20230310","1"
"13205304","20230310","1"
"13205100","20230311","1"
"13205200","20230312","1"
"13205300","20230313","1"
"13205304","20230313","1"
"13205300","20230314","1"
"13205304","20230314","1"
"13205300","20230315","1"
"13205304","20230315","1"
"13205300","20230316","1"
"13205304","20230316","1"
"13205300","20230317","1"
"13205304","20230317","1"
"13205100","20230318","1"
"13205200","20230319","1"
"13205300","20230320","1"
"13205304","20230320","1"
"13205300","20230321","1"
"13205304","20230321","1"
"13205300","20230322","1"
"13205304","20230322","1"
"13205300","20230323","1"
"13205304","20230323","1"
"13205300","20230324","1"
"13205304","20230324","1"
"13205100","20230325","1"
"13205200","20230326","1"
"13205300","20230327","1"
"13205312","20230327","1"
"13205300","20230328","1"
"13205312","20230328","1"
"13205300","20230329","1"
"13205312","20230329","1"
"13205300","20230330","1"
"13205312","20230330","1"
"13205300","20230331","1"
"13205312","20230331","1"
"13205100","20230401","1"
"13205200","20230402","1"
"13205300","20230403","1"
"13205304","20230403","1"
"13205300","20230404","1"
"13205304","20230404","1"
"13205300","20230405","1"
"13205304","20230405","1"
"13205300","20230406","1"
"13205304","20230406","1"
"13205300","20230407","1"
"13205304","20230407","1"
"13205100","20230408","1"
"13205200","20230409","1"
"13205300","20230410","1"
"13205304","20230410","1"
"13205300","20230411","1"
"13205304","20230411","1"
"13205300","20230412","1"
"13205304","20230412","1"
"13205300","20230413","1"
"13205304","20230413","1"
"13205300","20230414","1"
"13205304","20230414","1"
"13205100","20230415","1"
"13205200","20230416","1"
"13205300","20230417","1"
"13205304","20230417","1"
"13205300","20230418","1"
"13205304","20230418","1"
"13205300","20230419","1"
"13205304","20230419","1"
"13205300","20230420","1"
"13205304","20230420","1"
"13205300","20230421","1"
"13205304","20230421","1"
"13205100","20230422","1"
"13205200","20230423","1"
"13205300","20230424","1"
"13205304","20230424","1"
"13205300","20230425","1"
"13205304","20230425","1"
"13205300","20230426","1"
"13205304","20230426","1"
"13205300","20230427","1"
"13205304","20230427","1"
"13205300","20230428","1"
"13205304","20230428","1"
"13205100","20230429","1"
"13205200","20230430","1"
"13205300","20230501","1"
"13205304","20230501","1"
"13205300","20230502","1"
"13205304","20230502","1"
"13205300","20230503","1"
"13205304","20230503","1"
"13205300","20230504","1"
"13205304","20230504","1"
"13205300","20230505","1"
"13205304","20230505","1"
"13205100","20230506","1"
"13205200","20230507","1"
"13205300","20230508","1"
"13205304","20230508","1"
"13205300","20230509","1"
"13205304","20230509","1"
"13205300","20230510","1"
"13205304","20230510","1"
"13205300","20230511","1"
"13205304","20230511","1"
"13205300","20230512","1"
"13205304","20230512","1"
"13205100","20230513","1"
"13205200","20230514","1"
"13205300","20230515","1"
"13205304","20230515","1"
"13205300","20230516","1"
"13205304","20230516","1"
"13205300","20230517","1"
"13205304","20230517","1"
"13205300","20230518","1"
"13205304","20230518","1"
"13205300","20230519","1"
"13205304","20230519","1"
"13205100","20230520","1"
"13205200","20230521","1"
"13205300","20230522","1"
"13205304","20230522","1"
"13205300","20230523","1"
"13205304","20230523","1"
"13205300","20230524","1"
"13205304","20230524","1"
"13205300","20230525","1"
"13205304","20230525","1"
"13205300","20230526","1"
"13205304","20230526","1"
"13205100","20230527","1"
"13205200","20230528","1"
"13205200","20230529","1"
"13205300","20230530","1"
"13205304","20230530","1"
"13205300","20230531","1"
"13205304","20230531","1"
"13205300","20230601","1"
"13205304","20230601","1"
"13205300","20230602","1"
"13205304","20230602","1"
"13205100","20230603","1"
"13205200","20230604","1"
"13205300","20230605","1"
"13205304","20230605","1"
"13205300","20230606","1"
"13205304","20230606","1"
"13205300","20230607","1"
"13205304","20230607","1"
"13205300","20230608","1"
"13205304","20230608","1"
"13205300","20230609","1"
"13205304","20230609","1"
"13205100","20230610","1"
"13205200","20230611","1"
"13205300","20230612","1"
"13205304","20230612","1"
"13205300","20230613","1"
"13205304","20230613","1"
"13205300","20230614","1"
"13205304","20230614","1"
"13205300","20230615","1"
"13205304","20230615","1"
"13205300","20230616","1"
"13205304","20230616","1"
"13205100","20230617","1"
